title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Flowers in the Golden Light;author_0;General Audiences;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Amyclas of Sparta (Ancient Greek Religion & Lore), Zephyrus (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), (mentioned);References to Ancient Greek Religion & Lore, Sad Ending, killing off the love interest since the b.c. era, this fic tries to emulate the colors purple and gold, apollo is very bisexual, zephyrus is an asshole, excessive use of ellipses;English;2022-12-18;Completed;2022-12-18;7827;1/1;;3;;17
Burning;author_1;Mature;F/M;Ancient Greek Religion & Lore, The Song of Achilles - Madeline Miller, Ancient Roman Religion & Lore, Close Enemies (2018);Diomedes x Hermania (OC);Diomedes, Hermania, The Greeks - Character, Achilles, Odysseus, Patroclus, Agamennon, Menelaus, Helen, Paris, Hector (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Tydeus (Hercules 2014), Diomedes (Song of Achilles), Odysseus (Song of Achilles), Achilles (Song of Achilles);Enemies to Lovers, Slave Trade, Alternate Universe - Ancient Greek Religion & Lore Fusion, Poetry, Love, obssession, Protectiveness;English;2022-12-18;Completed;2022-12-18;4031;1/1;;;;5
bambo nombre 5;author_2;General Audiences;F/F, F/M, Gen, M/M, Multi, Other;Christian Bible, Christian Bible (Old Testament), Christian Bible (New Testament), Lego - All Media Types, Lego Ninjago, The LEGO Movie (2014), The LEGO Ninjago Movie (2017), The LEGO Batman Movie (2017), LEGO Harry Potter (Video Games), Super Mario & Related Fandoms, Super Mario Bros. (Video Games), Mario Story | Paper Mario, Super Paper Mario (Game), Mario & Luigi RPG (Video Games), Super Mario Galaxy, Super Mario Odyssey (Video Game), Paper Mario: The Thousand Year Door, Super Mario RPG: Legend of the Seven Stars, Mario & Sonic (Video Games), Super Mario Sunshine, Mario Kart (Video Games), The Godfather - Mario Puzo, Gallipoli (1981), Breaking Bad, Better Call Saul (TV), ziyoziyonoQi Miao naMou Xian  | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure, Cars (Pixar Movies), Hades (Video Game 2018), Ancient Greek Religion & Lore, One Direction (Band), Dora the Explorer (Cartoon), Family Guy (Cartoon), Angry Birds - All Media Types;luigi/zagreus;Zagreus (Hades Video Game), Peter Griffin, Luigi (Nintendo), Mario (Nintendo), Hal (Angry Birds), Mighty Eagle (Angry Birds), Lightning McQueen, Elohim | God | Allah (Abrahamic Religions), Jesus Christ, Jesus Christ (Christianity), Jesus (JoJo: Steel Ball Run), Saddam Hussein, Osama bin Laden, Dio Brando, Satan, Jimmy McGill | Saul Goodman, Ottoman Empire (Anthropomorphic);;English;2022-12-18;Completed;2022-12-18;1350;9/9;1;3;;34
Anchor;author_3;Mature;F/F, F/M, M/M;Ancient Greek Religion & Lore;;sea - Character, Andreas, Cassian, Nina, Apollo Jr;abilities, abusing, Drug Use, Alternate Universe, Fantasy, Greek, High School, fears, Gay, Lesbian Character, Fluff and Smut, Jokes, Music;English;2022-12-09;Completed;2022-12-18;21641;18/18;;;;12
In Afterlife, Afterwards: Patroclus' Gambit;author_4;Mature;M/M;The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus (Song of Achilles);Achilles (Song of Achilles), Patroclus (Song of Achilles), Hades (Ancient Greek Religion & Lore), Theseus (Ancient Greek Religion & Lore), Hercules | Heracles (Ancient Greek Religion & Lore), Asclepius (Ancient Greek Religion & Lore);Post-Canon, Afterlife, Established Relationship, Implied Sexual Content, POV Patroclus (Song of Achilles), Fluff and Angst, Domestic Fluff, Some Humor, Greek Mythology References, Ancient Greek Life Setting, Needles and Knives, Warm and Fuzzy Feelings, Come hell or high water got real pretty quick;English;2022-11-30;Completed;2022-12-17;27628;11/11;26;30;1;552
Meeting The Family;author_5;Not Rated;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Amyclas of Sparta (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore);;English;2022-10-20;Completed;2022-12-16;2682;5/5;3;26;3;365
The Legacy of Moon;author_6;Explicit;F/F, F/M, Gen;InuYasha - A Feudal Fairy Tale, Bleach (Anime & Manga), Castlevania Lords of Shadow to Su Ming noMo Jing  | Castlevania: Lords of Shadow & Mirror of Fate, God of War (Video Games), Prince of Persia: The Sands of Time (Video Games), Ancient Greek Religion & Lore, Christian Tradition Lore & Folklore, Warriors Orochi;Tia Harribel/Sesshoumaru (InuYasha), Higurashi Kagome/InuYasha, Kuchiki Rukia/Kurosaki Ichigo, Ulquiorra Cifer/Inoue Orihime, Shihouin Yoruichi/Urahara Kisuke, Other Relationship Tags to Be Added;Sesshoumaru (InuYasha), Selene (Ancient Greek Religion & Lore), Gabriel Belmont | Dracula, Trevor Belmont | Alucard, Tia Harribel, Orkos (God of War), Naraku (InuYasha), Aizen Sousuke, Orochi (Warriors Orochi), Other Character Tags to Be Added;Crossovers & Fandom Fusions, Mythology References;English;2022-12-16;Completed;2022-12-16;1570;1/1;;;;28
Hos es to meden hekomen! (Shade-0 ver. Truth);author_7;General Audiences;Gen;The Aeneid - Virgil, Greek and Roman Mythology;;;Literary References & Allusions, gates of horn and ivory, Anti-Imperialism, Free Verse, Anti-clericalism;English;2022-12-15;Completed;2022-12-15;106;1/1;;;;2
my love is dark, but it's yours.;author_8;Not Rated;M/M;Ancient Greek Religion & Lore;Hades & Zeus (Ancient Greek Religion & Lore), Hades/Zeus (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore);Unrequited Love, Unreliable Narrator;English;2022-12-15;Completed;2022-12-15;792;1/1;;4;;21
Icarus' Plight;author_9;General Audiences;;Ancient Greek Religion & Lore, Icarus - Fandom;;;Song: Icarus (Bastille), Poetry;English;2022-12-15;Completed;2022-12-15;44;1/1;;;;5
Perseus Poseidian Jackson, The Blood Of The Seas;author_10;Mature;F/M, Gen;Percy Jackson and the Olympians & Related Fandoms - All Media Types, The Heroes of Olympus - Rick Riordan, Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;Poseidon/Demeter (Percy Jackson), Zeus Hera (Percy Jackson), Hades/Persephone (Percy Jackson), Kronos/Rhea (Percy Jackson), Percy Jackson & Poseidon, Percy Jackson & Katie Gardner, Percy Jackson & Sally Jackson, Percy Jackson & Nico DiAngelo, Percy Jackson & Kymopoleia, Percy Jackson & Triton, Percy Jackson & Grover Underwood, Nico DiAngelo & Zagreus, Percy Jackson & Thalia Grace, Percy Jackson/Annabeth Chase, Percy Jackson & Bianca Di Angelo, Percy Jackson/Bianca Di Angelo, maybe;Percy Jackson, Nico di Angelo, Katie Gardner, Thalia Grace, Luke Castellan, Poseidon, Demeter, Hades, Zeus, Annabeth Chase, Bianca di Angelo, Kymopoleia, Grover Underwood;References to Ancient Greek Religion & Lore, Dark Percy Jackson, Powerful Percy Jackson, BAMF Percy Jackson, Percy Jackson has cousins, Poseidon is a good parent, Sally Jackson is a Good Parent, Alternate Universe - Canon Divergence, Nico di Angelo & Percy Jackson Friendship, BAMF Nico di Angelo, No Romantic Pairing As Of Right Now, Bianca Di Angelo Doesn't Join The Hunters, BAMF Bianca di Angelo, Morally Grey Percy Jackson;English;2022-09-28;Completed;2022-12-14;11363;3/3;26;122;28;2003
20 years;author_11;General Audiences;Gen, Other;Ancient Greek Religion & Lore;Odysseus/Penelope (Ancient Greek Religion & Lore);Odysseus (Ancient Greek Religion & Lore), Poseidon (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Lotus Eaters (Ancient Greek Religion & Lore), Polyphemus the Cyclops (Ancient Greek Religion & Lore), Aeolus son of Hippotes (Ancient Greek Religion & Lore), Circe (Ancient Greek Religion & Lore), Laestrygonians (Ancient Greek Religion & Lore), Sirens (Ancient Greek Religion & Lore), Scylla daughter of Crataeis (Ancient Greek Religion & Lore), Helios (Ancient Greek Religion & Lore), Calypso (Ancient Greek Religion & Lore), Telemachus (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Achilles (Ancient Greek Religion & Lore), Hercules | Heracles (Ancient Greek Religion & Lore), Paris (Ancient Greek Religion & Lore), Ajax the Greater son of Telamon (Ancient Greek Religion & Lore), Neoptolemus | Pyrrhus (Ancient Greek Religion & Lore), Philoctetes (Ancient Greek Religion & Lore), Diomedes (Ancient Greek Religion & Lore), Eurycleia of Ithaca (Ancient Greek Religion & Lore), Eumaeus (Ancient Greek Religion & Lore), Philoetius (Ancient Greek Religion & Lore);Trojan War, Old Gods;English;2022-12-14;Completed;2022-12-14;201;1/1;;1;;23
sometimes silence is a comfort.;author_8;Not Rated;Gen;Ancient Greek Religion & Lore;Hades & Hestia (Ancient Greek Religion & Lore), Demeter & Hestia (Ancient Greek Religion & Lore);Hera (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore), Poseidon (Ancient Greek Religion & Lore), Demeter (Ancient Greek Religion & Lore), Hestia (Ancient Greek Religion & Lore);just my own musings, before the titanomachy;English;2022-12-14;Completed;2022-12-14;502;1/1;;5;1;22
halloween muder;author_12;Mature;F/F;Harry Potter - J. K. Rowling, Ancient Greek Religion & Lore;Hermione Granger/Narcissa Black Malfoy;Hermione Granger, Narcissa Black Malfoy, Minerva McGonagall, Andromeda Black Tonks, Pansy Parkinson's Mother, Pansy Parkinson, Ginny Weasley, Cho Chang, Luna Lovegood;muder au, AU, Cissamione, Good Bellatrix Black Lestrange, Halloween, Discord: Cissamione, Ron Weasley Bashing, Discord: Bellamione Coven, Seer Luna Lovegood, Murder Mystery;English;2022-10-15;Completed;2022-12-13;1267;5/5;;6;2;259
Icarus's poem ~ Icarus's lie ~;author_13;Teen And Up Audiences;;Original Work, Ancient Greek Religion & Lore;;Icarus (Ancient Greek Religion & Lore);based loosely off of the idea of icarus and that whole thing, Drowning, Manipulation, Emotional Manipulation, kinda? like the ocean is briefly hinted at manipulating Icarus, the author is going through some shit, Icarus dies (surprise surprise), poem kinda, Grief, lying about how Icarus died, cover up? maybe?, weird gaps and shit, hard to read, like visually it's hard if that makes sense, Creepy, Character Death, I'm using thee graphic depictions of violence tag when talking about the fathers memories of Icarus, holy shit Ancient Greek religion and lore is a fandom tag?, huh, who knew, also yes we know, Icarus's father does have an actual name, we just don't care enough about it to actually look it up and try and figure out what his name is, it's like 1am okay? fact checking is currently beyond us, you can blame finals and us dropping a water bottle for this angsty shit, Hurt No Comfort, Angst, just plain angst, This Is Why We Can't Have Nice Things, cause I fuckin angst all over them, unintentional beta, usually no beta for stories, so rare beta found, but honestly it might as well have been, no beta we die like men cause we made no changes whatsoever;English;2022-12-13;Completed;2022-12-13;640;1/1;;;;4
Children of Night & Fury (Olympic Edition);author_14;Explicit;F/F, F/M, M/M, Multi;Hades (Video Game 2018), Lore Olympus (Webcomic), The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore, The Aeneid - Virgil;Megaera/Zagreus (Hades Video Game), Eurydice/Tisiphone (Hades Video Game), Eurydice/Orpheus (Hades Video Game), Hades/Persephone (Hades Video Game), Ares/Dionysus (Hades Video Game), Aphrodite/Dionysus (Hades Video Game), Dionysus/Zagreus (Hades Video Game), Hypnos/Thanatos (Hades Video Game), Achilles/Patroclus (Hades Video Game), Alecto/Chaos (Hades Video Game);Megaera (Hades Video Game), Tisiphone (Hades Video Game), Alecto (Hades Video Game), Minthe (Lore Olympus), Minthe (Ancient Greek Religion & Lore), Ares (Hades Video Game), Aphrodite (Hades Video Game), Dionysus (Hades Video Game), Patroclus (Song of Achilles), Hades (Hades Video Game), Hades (Lore Olympus), Persephone (Hades Video Game), Persephone (Lore Olympus), Demeter (Hades Video Game), Apollo (Ancient Greek Religion & Lore), Athena (Hades Video Game), Hypnos (Hades Video Game), Thanatos (Hades Video Game), Zagreus (Hades Video Game);Venice, Las Vegas, Roberto Cavalli, Pan - Freeform;English;2022-11-28;Completed;2022-12-12;2170;4/4;;2;;184
Amor Primo Aspecto;author_15;Teen And Up Audiences;F/M;Original Work, Ancient Greek Religion & Lore;Original Female Character(s)/Original Male Character(s);Original Characters, Aphrodite (Ancient Greek Religion & Lore), Eros (Ancient Greek Religion & Lore);Angst, blue roses, Love at First Sight, cruel love, Aphrodite Ships It;English;2022-12-12;Completed;2022-12-12;678;1/1;;;;4
Intertwined vines of love;author_16;Mature;M/M;Sheng Dou Shi Xing Shi  | Saint Seiya Series, Sheng Dou Shi Xing Shi  | Saint Seiya (Manga & Anime 1986), Ancient Greek Religion & Lore;Sagittarius Aiolos/Capricorn Shura, Dionysus/Capricorn Shura;Sagittarius Aiolos, Capricorn Shura, Dionysus (Saint Seiya);Alternate Universe - Fantasy, Mythical Beings & Creatures, Centaurs, Fauns & Satyrs, Love at First Sight, Other Additional Tags to Be Added, Threesome - M/M/M, Bondage, Public Sex, Monster fucking I guess?, Centaur/Satyr sex, Dionysus being horny, Blow Jobs;English;2022-10-27;Completed;2022-12-12;4395;2/2;1;6;;110
With You In Your Dreams;author_17;Explicit;F/M, M/M, Multi;Original Work, Ancient Greek Religion & Lore;Hades/Persephone (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore);mentions of Poseidon and Zeus and Hypnos, Somnophilia, Non-Consensual Somnophilia, Non-Traditional Alpha/Beta/Omega Dynamics, Omega/Omega, Anal Fingering, Intercrural Sex, Anal Sex, Come Inflation, Cockwarming, Squirting, Past Rape/Non-con, Kidnapping (Mentioned), Tentacle Rape (mentioned), Sex Toys, Colon Snake, Mating Press, Marathon Sex, perse/hades are in a loving marriage, Art, Top Persephone, Bottom Hades, Persephone has a penis, Belly Bulge, greek gods in modern times, No beta we die like all the olympian heroes, Anal Gaping, Body Worship;English;2022-12-12;Completed;2022-12-12;5247;1/1;3;39;7;1187
A Poem by Apollo;author_18;Mature;;Ancient Greek Religion & Lore;;Apollon | Apollo (Hellenistic Religion & Lore), Icarus (Ancient Greek Religion & Lore);References to Ancient Greek Religion & Lore, Inspired by The Fall of Icarus (Ancient Greek Religion & Lore);English;2022-12-12;Completed;2022-12-12;177;1/1;;;;8
Prometheus: A Letter to Mankind;author_18;Mature;;Ancient Greek Religion & Lore;;Prometheus (Ancient Greek Religion & Lore);;English;2022-12-12;Completed;2022-12-12;245;1/1;;;;5
The Hope of Sparta;author_19;Not Rated;F/M, Multi;God of War (Video Games), Norse Mythology - Neil Gaiman, Ancient Greek Religion & Lore;Atreus & Kratos (God of War), Calliope & Kratos (God of War), Atreus & Calliope & Kratos (God of War), Atreus & Calliope (God of War), Atreus & Freya (God of War), Bragi/Calliope (God of War), Atreus & Mimir (God of War), Calliope & Mimir (God of War), Freya & Kratos (God of War), Kratos/Lysandra (God of War), Faye/Kratos (God of War), Kratos & Mimir (God of War);Jormungandr | World Serpent (God of War), Mimir (God of War), Atreus (God of War), Calliope (God of War), Kratos (God of War), Fenrir (God of War), Muses (Ancient Greek Religion & Lore), Freya (God of War), Gods and Goddesses (Ancient Greek Religion & Lore), Thor (God of War), Odin (God of War), Athena (God of War);Original Character(s), Minor Original Character(s), What-If, Parent Kratos (God of War), Protective Kratos (God of War), calliope - Freeform, Music, Sibling Bonding, Protective Siblings, First Meetings, Chance Meetings, Guardians - Freeform, The Muses - Freeform, Family Issues, Reunions, References to Ancient Greek Religion & Lore, References to Norse Religion & Lore, original animals, Original Mythology, Complete Speculation;English;2022-12-08;Completed;2022-12-11;2820;2/2;2;37;7;881
hold me, heal me, keep me near;author_20;Not Rated;M/M;Ancient Greek Religion & Lore, Blood of Zeus (Cartoon);Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore);Hurt/Comfort, Fluff and Hurt/Comfort, Light Angst, apollo and hyacinthus being soft, mentions of dead bodies, Apollo Needs a Hug (Ancient Greek Religion & Lore), he gets cuddles tho;English;2022-12-11;Completed;2022-12-11;1376;1/1;;17;;120
"""You Taste Divine"" & ""Sweetest Ambrosia""";author_21;Explicit;F/F;Ancient Greek Religion & Lore, Call the Midwife;Artemis/Callisto (Ancient Greek Religion & Lore), reference to Apollo/Hermes (Ancient Greek Religion & Lore);Artemis (Ancient Greek Religion & Lore), Callisto (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore), Hestia (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Demeter (Ancient Greek Religion & Lore);Call the Midwife AU, that means 1960s London yall, Period-Typical Homophobia, Period-Typical Sexism, references to the, Gateways Club, Detailed Description of Birth, Vaginal Fingering, Fingerfucking, Finger Sucking, Pubic Hair, Cunnilingus, Bicycles;English;2022-12-11;Completed;2022-12-11;8143;1/1;1;3;1;174
Hestia's Walkout;author_22;General Audiences;F/F, F/M, Other;Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;Demeter & Hades & Hera & Hestia & Poseidon & Zeus (Ancient Greek Religion & Lore), Hestia/Original Male Character, Hestia/Original Female Character, Apollo & Artemis & Athena & Demeter & Dionysus & Hermes & Hestia (Percy Jackson), Hestia & Original Demigod Character(s);Hestia (Percy Jackson), The Olympians (Percy Jackson), Original Male Character(s), Original Female Character(s);Love, Same-Sex Marriage, Marriage, Fluff and Angst, Domestic Fluff, Children, Grief/Mourning, Character Death;English;2022-12-11;Completed;2022-12-11;1717;1/1;;9;2;75
The Sun God Went Down to Phthia;author_23;General Audiences;Other;Hades II, Hades (Video Game 2018), Ancient Greek Religion & Lore, The Song of Achilles - Madeline Miller;Achilles/Patroclus (Song of Achilles);Achilles (Song of Achilles), Apollo (Hades Video Game);Liberal use of Homeric language, No really I want to punch Homer in the face, straight across the fuckin jaw, gobby bitch boy, Anyways, Fic inspired by The Devil Went Down to Georgia, not beta read we die like patroclus;English;2022-12-11;Completed;2022-12-11;969;1/1;;5;1;68
Dance of the Nereids;author_24;General Audiences;Gen;Ancient Greek Religion & Lore;Orpheus & Calliope (Ancient Greek Religion & Lore);Calliope (Ancient Greek Religion & Lore), Orpheus (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore), The Nereids (Ancient Greek Religion & Lore);Underwater, Mother-Son Relationship, References to Orphic Mysteries, Fluff, Apollo Delphinios, Orpheus is a cute kid;English;2022-12-10;Completed;2022-12-10;1136;1/1;1;1;;15
The thrown rose;author_25;Teen And Up Audiences;F/M, Gen;hades - Fandom, Aries - Fandom, Hades xpoc, Black women - Fandom, Witch blood, bloodline - Fandom, gods - Fandom, Goddess - Fandom, Deities - Fandom;Hades x original character, Aries x original character;;black women, Queen - Freeform, Powerful, Pregnancy;English;2022-12-10;Completed;2022-12-10;24;1/1;;;;5
Mon Petit Soleil et Ma Ruine;author_23;General Audiences;M/M;Hades (Video Game 2018), Ancient Greek Religion & Lore;Apollo/Moros (Ancient Greek Religion & Lore);Apollo (Hades Video Game), Moros (Ancient Greek Religion & Lore);Tooth-Rotting Fluff, nothing but gays being gay, copious sun imagery, it's basically me waxing poetic about Apollo, this relationship doesn't exist yet but watch me become a one man tag, SUCK IT, okay but seriously this is very sweet, enjoy please;English;2022-12-09;Completed;2022-12-09;633;1/1;;12;1;57
The broken kingdom;author_26;Not Rated;;Red Hood and the Outlaws (Comics), Irish Mythology, Ancient Egyptian Religion, Ancient Greek Religion & Lore, Game of Thrones (TV);;Jason Todd, Joffrey Baratheon;Self-Insert, Political Alliances, Politics, Good Joffrey Baratheon, Morally grey Joffrey Baratheon, Morally Grey Jason Todd;English;2022-09-16;Completed;2022-12-09;13365;9/9;6;10;1;899
Dismantle Me;author_27;Explicit;F/M;Harry Potter - J. K. Rowling, Percy Jackson and the Olympians & Related Fandoms - All Media Types, Ancient Greek Religion & Lore;Candace Ross/Rain Ross, Aphrodite/Ares (Percy Jackson), Hermes/Iris (Ancient Greek Religion & Lore), Aither/Hemera (Percy Jackson), Sirius Black/Victoria Black, Apollo/Hyacinthus (Ancient Greek Religion & Lore);Candace Ross, Rain Ross, Althea Ross, Aphrodite (Percy Jackson), Ares (Percy Jackson), Hermes (Harry Potter), Iris (Percy Jackson), Hemera (Percy Jackson), Aether (Ancient Greek Religion & Lore), Sirius Black, Victoria Black, Apollo (Percy Jackson), Hyacinthus (Percy Jackson);My First Smut, Aphrodite Ships It, Ares is traumatized, Good Parent Hermes (Percy Jackson), Althea is also traumatized, Apollo is trying his best, Walking In On Someone;English;2022-12-09;Completed;2022-12-09;217;1/1;;;;30
i will hold you here forever (if i can);author_28;Not Rated;F/M;Ancient Greek Religion & Lore, The Odyssey - Homer;Odysseus/Penelope;Odysseus (Ancient Greek Religion & Lore), Penelope (Ancient Greek Religion & Lore);Beaches, Poetry, Prose Poem, Lowercase;English;2022-12-08;Completed;2022-12-08;73;1/1;2;1;;7
take me back to the night we met (i don't know what i'm supposed to do);author_28;Not Rated;F/M;The Odyssey - Homer, Ancient Greek Religion & Lore;Odysseus/Penelope;Odysseus (Ancient Greek Religion & Lore), Penelope (Ancient Greek Religion & Lore);Drabble, Late Night Writing, Stars, Memories, Angst, Lowercase;English;2022-12-08;Completed;2022-12-08;100;1/1;;1;;8
how many nights would it take to count the stars? (that's the time it would take to fix my heart);author_28;Not Rated;F/M;Ancient Greek Religion & Lore, The Odyssey - Homer;Odysseus/Penelope;Odysseus (Ancient Greek Religion & Lore), Penelope (Ancient Greek Religion & Lore);Drabble, Late Night Writing;English;2022-12-08;Completed;2022-12-08;100;1/1;;1;;14
Iris;author_29;Not Rated;F/M;Greek Mythology;Ares/Original Character;Hades, Ares, Zeus, Aphrodite, Athena, Demeter, Persephone, Poseidon, Hestia, Hera, Hebe, Apollo, Artemis, Hermes, Original Characters;;English;2022-12-08;Completed;2022-12-08;939;1/1;;;;11
Halloween husbands;author_30;Not Rated;F/F, F/M, M/M;Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;Apollo/Percy Jackson, Annabeth Chase/Piper McLean, Paul Blofis/Sally Jackson;Apollo (Percy Jackson), Percy Jackson, Annabeth Chase (Percy Jackson), Piper McLean, Leo Valdez, Estelle Blofis, Paul Blofis, Sally Jackson (Percy Jackson);Halloween, Alternate Universe - Mortal, Husbands, Apollo is a good husband, Nightmares, Comfort, Short & Sweet;English;2022-12-07;Completed;2022-12-07;1207;1/1;2;32;3;299
My Confessions;author_31;Explicit;Gen;Original Work, No Fandom, Ancient Greek Religion & Lore, Norse Religion & Lore, Religion & Lore - Ambiguous Fandom, Marvel Cinematic Universe, Alien Series, Hindu Religions & Lore;;;Confessions, Religious Imagery & Symbolism, Religion, Religious Discussion, Reincarnation, Biblical Reinterpretation, Occult;English;2022-09-28;Completed;2022-12-07;14067;2/2;1;1;;40
satyrian friendship;author_32;General Audiences;F/M;The Sandman (Comics), Ancient Greek Religion & Lore;Dream of the Endless | Morpheus/Original Female Character(s);Dream of the Endless | Morpheus, Cecilia;Fauns & Satyrs, Mentioned Death of the Endless, Alternate Universe - Ancient Greek Religion & Lore Fusion, Alternate Universe - Childhood Friends, Childhood Friends, Spirits, Spirit Animals, References to Ancient Greek Religion & Lore, Alternate Universe - Gods & Goddesses, Autistic Dream of the Endless | Morpheus, Series;English;2022-12-06;Completed;2022-12-06;793;1/1;;;;10
And After;author_33;Explicit;M/M;Ancient Greek Religion & Lore;Menelaus/Paris (Ancient Greek Religion & Lore);Menelaus (Ancient Greek Religion & Lore), Paris (Ancient Greek Religion & Lore);Rough Sex, Oral Sex, Anal Sex, Love/Hate, Angst and Drama;English;2022-12-06;Completed;2022-12-06;4153;1/1;;8;1;86
A Butterfly Thought;author_34;General Audiences;Gen;Ancient Greek Religion & Lore;;Melete (Ancient Greek Religion & Lore), Aoede (Ancient Greek Religion & Lore), Mneme (Ancient Greek Religion & Lore);Sisters, Inspiration, Mortality, Muses, Butterflies;English;2022-12-06;Completed;2022-12-06;621;1/1;;;;3
A Hoplite No More;author_35;Explicit;Multi;Original Work, Ancient Greek Religion & Lore;Original Female Character/Original Male Character, Original Female Character/Original Female Character;Original Male Character(s), Original Female Character(s), Dionysus (Ancient Greek Religion & Lore);Transformation, References to Ancient Greek Religion & Lore, Oral Sex, Pegging, Trans Female Character, Transgender, Magic;English;2022-12-05;Completed;2022-12-05;8680;1/1;2;12;;211
Unlikely Guidance;author_36;General Audiences;;Ancient Greek Religion & Lore;;Cassandra (Ancient Greek Religion & Lore);Fantasy, Sexism, Classism, Fantasy AU, Cassandra's mythos can be interpreted as a metaphor for sexism, Oh look a woman speaking oracular truth, too bad the menfolk will never listen to her because she didn't want to be raped by Apollo, Short One Shot;English;2022-12-05;Completed;2022-12-05;576;1/1;;2;;19
Antics With The Argonauts;author_37;General Audiences;Gen;Original Work, Ancient Greek Religion & Lore;;Jason (Ancient Greek Religion & Lore), Orpheus (Ancient Greek Religion & Lore), Hercules | Heracles (Ancient Greek Religion & Lore);POV First Person, Mythology - Freeform, Mythology References;English;2022-12-05;Completed;2022-12-05;921;1/1;;1;;8
The Flower Bed of Death;author_38;General Audiences;F/F;Greek Mythology;Hades/Persephone;Hades, Persephone, Libera (Ancient Roman Religion & Lore), Pluto;Inspired by Hades and Persephone (Ancient Greek Religion & Lore), Useless Lesbians;English;2022-12-05;Completed;2022-12-05;655;1/1;;1;;30
Musings;author_39;General Audiences;Gen;Ancient Greek Religion & Lore;;Muses (Ancient Greek Religion & Lore);;English;2022-12-04;Completed;2022-12-04;605;1/1;;3;;8
After Troy;author_40;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Ajax the Greater son of Telamon/Teucer son of Telamon (Ancient Greek Religion & Lore);;Poetry, Dactylic Hexameter, narrative poem;English;2022-12-04;Completed;2022-12-04;768;1/1;9;10;3;35
This Side of Paradise;author_41;Explicit;M/M;The Song of Achilles - Madeline Miller, Hades (Video Game 2018), Ancient Greek Religion & Lore;Achilles/Patroclus, Achilles/Patroclus (Song of Achilles), Achilles/Patroclus of Opus (Ancient Greek Religion & Lore);Patroclus (Song of Achilles), Achilles (Song of Achilles);Alternate Universe - Coffee Shops & Cafes, First Meetings, First Time, Alternate Universe - Modern Setting, Love at First Sight, Because it's them, What else would it be?, Rewrite;English;2022-11-22;Completed;2022-12-02;7429;3/3;12;89;5;763
Crimes and Punishment;author_33;General Audiences;Gen;Ancient Greek Religion & Lore, The Iliad - Homer;Athena & Zeus (Ancient Greek Religion & Lore);Zeus (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore);Trojan War, Melancholy, Father-Daughter Relationship, Light Angst, Revenge;English;2022-12-01;Completed;2022-12-01;3219;1/1;;8;1;94
Pygmalion Retold;author_42;Teen And Up Audiences;M/M;Original Work, Ancient Greek Religion & Lore, Ancient Roman Religion & Lore, bare: A Pop Opera - Hartmere/Intrabartolo;Pygmalion/Tithonus;;anachronistic kitchen sink, Ancient Grome, Crystal Spires and Togas, Pygmalion was from Cyprus but I made this one Italian and set the story in Minoan Crete, fans of bapo will understand why I tagged bapo in the fandoms field, Giasone and Petruccio are adult apprentices, Implied Sexual Content, and they were ROOMMATES;English;2022-12-01;Completed;2022-12-01;4105;1/1;;1;;37
Day 28: Siren;author_43;Mature;;Ancient Greek Religion & Lore;;Odysseus (Ancient Greek Religion & Lore), Sirens (Ancient Greek Religion & Lore);Mind Control, Spells & Enchantments, Sirens;English;2022-12-01;Completed;2022-12-01;1129;1/1;;3;1;118
