title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Destroyer;author_107;Mature;F/M, Gen;Ancient Greek Religion & Lore;;Cassandra (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore);Prophetic Visions, Psychological Horror, Dark, Revenge, One-Sided Attraction;English;2022-10-31;Completed;2022-10-31;1251;1/1;14;22;4;126
Hyacinth by Apollo;author_108;Mature;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore), Apollo/Hyacinth;Apollo (Ancient Greek Religion & Lore), Zephyrus (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore);Retelling, myths;English;2022-10-29;Completed;2022-10-29;3699;1/1;1;18;1;226
The Prey of Truth;author_109;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;;Original Demigod Character(s) (Ancient Greek Religon & Lore);Inaccurate Ancient Greek Religion & Lore, Persephone Goes Willingly With Hades (Ancient Greek Religion & Lore), Original Character(s), Smoking, Drinking, Fluff, Light Angst, Underworld, Death;English;2022-10-29;Completed;2022-10-29;27984;43/43;;;;24
Everything is Lost;author_46;Teen And Up Audiences;Gen;Hades (Video Game 2018), Ancient Greek Religion & Lore;Eurydice/Orpheus (Hades Video Game), Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore);Orpheus (Hades Video Game), Orpheus (Ancient Greek Religion & Lore), Eurydice (Hades Video Game), Eurydice wife of Orpheus (Ancient Greek Religion & Lore), Apollo (Hades Video Game), Apollo (Ancient Greek Religion & Lore);Canonical Character Death, Implied/Referenced Character Death, Father-Son Relationship, apollo is a bad dad, Grief/Mourning, orpheus is a dumbass, but i feel bad for him, Disapproving Family;English;2022-10-28;Completed;2022-10-28;1108;1/1;;14;;70
I Wish..;author_110;General Audiences;Gen;Ancient Greek Religion & Lore;Demeter & Persephone (Ancient Greek Religion & Lore), Hades/Persephone;Demeter (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore);Trick or Treat: Trick, Mother-Daughter Relationship, Rebellion, Mild Angst, Angst, Pre-Myth, Pre-Canon;English;2022-10-28;Completed;2022-10-28;331;1/1;3;16;2;80
The Boy Of Ignorance;author_111;Not Rated;;Ancient Greek Religion & Lore;;Icarus (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore);Poetry, Mythology References, References to Ancient Greek Religion & Lore;English;2022-10-27;Completed;2022-10-27;222;1/1;2;6;;23
Terrace.;author_57;Not Rated;M/M;Ancient Greek Religion & Lore;Apollo/Ares (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Ares (Ancient Greek Religion & Lore);Gay, Gay Sex, Sex, Romantic Fluff, Love Confessions, Love, Alternate Universe - Gods & Goddesses, References to Ancient Greek Religion & Lore, Hot Sex;English;2022-10-26;Completed;2022-10-26;3115;1/1;2;18;2;184
A Siren's Tale;author_112;Teen And Up Audiences;Gen, M/M;Merlin (TV), Ancient Greek Religion & Lore;Merlin & Arthur Pendragon (Merlin), Merlin & Morgause (Merlin), Merlin & Druids;Druids (Merlin), Arthur Pendragon (Merlin), Merlin (Merlin), Nimueh (Merlin), Morgause (Merlin);Sirens, Alternate Universe - The Little Mermaid Fusion, Little Mermaid Elements, Siren Merlin (Merlin), Sailor Arthur Pendragon (Merlin), Alternate Universe - Modern Setting, Boats and Ships;English;2022-10-24;Completed;2022-10-26;6393;3/3;4;11;6;318
Eagle eyes;author_113;Not Rated;;Ancient Greek Religion & Lore;;Ganymede (Ancient Greek Religion & Lore);Guess who's pov this is in, Fluff, Freeform, Mythology - Freeform;English;2022-10-26;Completed;2022-10-26;996;1/1;3;8;3;66
Look in the Stars (You see those constellations?);author_114;General Audiences;Gen;Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;;Zoe Nightshade, Orion - Character, Callisto, Persephone;;English;2022-10-25;Completed;2022-10-25;289;1/1;;;;17
